"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.354980460E-1,-3.493499756E-1,4.402770996E-1,9.497116089E0
6.378173820E-1,-3.469543457E-1,4.522399902E-1,9.489929199E0
6.401672360E-1,-3.637084961E-1,4.426727295E-1,9.513870239E0
6.424865720E-1,-3.565368652E-1,4.426727295E-1,9.516250610E0
6.448364250E-1,-3.565368652E-1,4.307098389E-1,9.494720459E0
6.471557610E-1,-3.373870850E-1,4.115600586E-1,9.511474609E0
6.495056150E-1,-3.373870850E-1,3.876342773E-1,9.528213501E0
6.518249510E-1,-3.445739746E-1,3.708801270E-1,9.525833130E0
6.541748040E-1,-3.325958252E-1,3.613128662E-1,9.549758911E0
6.564941400E-1,-3.421783447E-1,3.565368652E-1,9.561721802E0
6.588439940E-1,-3.373870850E-1,3.349914551E-1,9.573684692E0
6.611938470E-1,-3.349914551E-1,3.014984131E-1,9.588043213E0
6.635131830E-1,-3.373870850E-1,2.991027832E-1,9.616760254E0
6.658630370E-1,-3.469543457E-1,3.038940430E-1,9.643081665E0
6.681823730E-1,-3.325958252E-1,2.895355225E-1,9.678970337E0
6.705322260E-1,-3.302154541E-1,2.991027832E-1,9.726821899E0
6.728515620E-1,-3.325958252E-1,2.871398926E-1,9.738784790E0
6.752014160E-1,-3.349914551E-1,2.895355225E-1,9.753143311E0
6.775207520E-1,-3.493499756E-1,2.943115234E-1,9.753143311E0
6.798706050E-1,-3.565368652E-1,3.086700439E-1,9.753143311E0
6.821899410E-1,-3.780670166E-1,3.110656738E-1,9.753143311E0
6.845397950E-1,-3.708801270E-1,3.134613037E-1,9.760330200E0
6.868896480E-1,-3.852386475E-1,3.278198242E-1,9.779464722E0
6.892089840E-1,-3.780670166E-1,3.469543457E-1,9.789031982E0
6.915588370E-1,-4.091796875E-1,3.349914551E-1,9.810577393E0
6.938781730E-1,-4.187469482E-1,3.469543457E-1,9.824935913E0
6.962280270E-1,-4.235229492E-1,3.637084961E-1,9.841674805E0
6.985473630E-1,-3.995971680E-1,3.732757568E-1,9.844070435E0
7.008972160E-1,-2.273254395E-1,3.684997559E-1,9.690933228E0
7.032165520E-1,5.024719238E-2,3.732757568E-1,9.310470581E0
7.055664060E-1,3.541412354E-1,3.756713867E-1,8.874984741E0
7.078857420E-1,6.580200195E-1,4.402770996E-1,8.386840820E0
7.102355950E-1,9.188385010E-1,5.120697021E-1,7.944168091E0
7.125854490E-1,1.052841187E0,6.077728271E-1,7.680953979E0
7.149047850E-1,1.103088379E0,7.010955811E-1,7.587646484E0
7.172546380E-1,1.052841187E0,7.848510742E-1,7.700103760E0
7.195739740E-1,9.762725830E-1,8.709869385E-1,7.960922241E0
7.219238280E-1,8.829498291E-1,9.403839111E-1,8.312667847E0
7.242431640E-1,7.346038818E-1,9.667053223E-1,8.685943604E0
7.265930170E-1,6.197357178E-1,9.523468018E-1,9.042480469E0
7.289123530E-1,5.048828125E-1,8.733825684E-1,9.315261841E0
7.312622070E-1,4.139556885E-1,7.728881836E-1,9.528213501E0
7.335815430E-1,2.919311523E-1,6.556396484E-1,9.671783447E0
7.359313960E-1,1.818542480E-1,5.359954834E-1,9.750747681E0
7.382507320E-1,5.024719238E-2,4.402770996E-1,9.800994873E0
7.406005860E-1,-6.221008301E-2,3.541412354E-1,9.882354736E0
7.429199210E-1,-2.057800293E-1,2.656097412E-1,9.961318970E0
7.452697750E-1,-3.014984131E-1,1.746826172E-1,1.003311157E1
7.476196280E-1,-3.828582764E-1,1.076812744E-1,1.009292603E1
7.499389640E-1,-4.331054688E-1,5.024719238E-2,1.015036011E1
7.522888180E-1,-4.570312500E-1,4.547119141E-2,1.017668152E1
7.546081540E-1,-4.355010986E-1,0.000000000E0,1.023889160E1
7.569580070E-1,-4.163513184E-1,-2.632141113E-2,1.026521301E1
7.592773430E-1,-4.067840576E-1,-4.547119141E-2,1.032263184E1
7.616271970E-1,-3.972015381E-1,-6.221008301E-2,1.038485718E1
7.639465330E-1,-3.780670166E-1,-5.264282227E-2,1.042074585E1
7.662963860E-1,-3.732757568E-1,-4.785156250E-2,1.043510437E1
7.686157220E-1,-3.852386475E-1,-3.588867188E-2,1.043988037E1
7.709655760E-1,-4.187469482E-1,-1.435852051E-2,1.043750000E1
7.732849120E-1,-4.259185791E-1,-7.171630859E-3,1.042552185E1
7.756347650E-1,-4.331054688E-1,1.914978027E-2,1.038963318E1
7.779541010E-1,-4.450683594E-1,4.067993164E-2,1.038485718E1
7.803039550E-1,-4.546356201E-1,4.307556152E-2,1.039442444E1
7.826538080E-1,-4.331054688E-1,4.785156250E-2,1.042314148E1
7.849731440E-1,-3.876342773E-1,4.547119141E-2,1.045184326E1
7.873229980E-1,-3.349914551E-1,4.307556152E-2,1.046620178E1
7.896423340E-1,-2.943115234E-1,4.547119141E-2,1.044946289E1
7.919921870E-1,-2.440643311E-1,2.392578125E-2,1.042791748E1
7.943115230E-1,-2.057800293E-1,1.196289062E-2,1.037287903E1
7.966613770E-1,-1.914215088E-1,2.153015137E-2,1.029393005E1
7.989807120E-1,-1.627044678E-1,1.196289062E-2,1.025564575E1
8.013305660E-1,-1.770629883E-1,4.791259766E-3,1.019821167E1
8.036804200E-1,-1.890258789E-1,4.791259766E-3,1.011685181E1
8.059997550E-1,-2.010040283E-1,3.588867188E-2,1.002592468E1
8.083496090E-1,-2.249298096E-1,4.785156250E-2,9.932601929E0
8.106689450E-1,-2.416687012E-1,6.221008301E-2,9.858428955E0
8.130187980E-1,-2.656097412E-1,9.332275391E-2,9.774673462E0
8.153381340E-1,-2.895355225E-1,9.332275391E-2,9.750747681E0
8.176879880E-1,-3.373870850E-1,1.220397949E-1,9.705291748E0
8.200073240E-1,-3.756713867E-1,1.340026855E-1,9.669403076E0
8.223571770E-1,-4.259185791E-1,1.411743164E-1,9.640686035E0
8.246765130E-1,-4.570312500E-1,1.459655762E-1,9.669403076E0
8.270263670E-1,-4.761657715E-1,1.674957275E-1,9.734008789E0
8.293762200E-1,-5.359954834E-1,1.435699463E-1,9.796218872E0
8.316955560E-1,-5.886383057E-1,1.028900146E-1,9.925430298E0
8.340454100E-1,-6.412811279E-1,4.785156250E-2,1.010728455E1
8.363647460E-1,-7.034912109E-1,2.153015137E-2,1.035853577E1
8.387145990E-1,-7.106628418E-1,-4.307556152E-2,1.058584595E1
8.410644530E-1,-6.556396484E-1,-7.417297363E-2,1.070549011E1
8.434143060E-1,-5.910339355E-1,-8.135986328E-2,1.072462463E1
8.457336420E-1,-5.383911133E-1,-7.417297363E-2,1.071028137E1
8.480834960E-1,-5.096740723E-1,-2.153015137E-2,1.054516602E1
8.504028320E-1,-4.833526611E-1,4.785156250E-2,1.028913879E1
8.527526850E-1,-4.474639893E-1,9.571838379E-2,9.987640381E0
8.550720210E-1,-4.259185791E-1,1.890258789E-1,9.743576050E0
8.574218750E-1,-4.331054688E-1,2.919311523E-1,9.535400391E0
8.597717280E-1,-4.426727295E-1,3.828582764E-1,9.437286377E0
